age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39.0,6,77516.0,13.0,4,0,1,4,1,2174.0,0.0,40.0,38,0
50.0,5,83311.0,13.0,2,3,0,4,1,0.0,0.0,13.0,38,0
38.0,3,215646.0,9.0,0,5,1,4,1,0.0,0.0,40.0,38,0
53.0,3,234721.0,7.0,2,5,0,2,1,0.0,0.0,40.0,38,0
28.0,3,338409.0,13.0,2,9,5,2,0,0.0,0.0,40.0,4,0
37.0,3,284582.0,14.0,2,3,5,4,0,0.0,0.0,40.0,38,0
49.0,3,160187.0,5.0,3,7,1,2,0,0.0,0.0,16.0,22,0
52.0,5,209642.0,9.0,2,3,0,4,1,0.0,0.0,45.0,38,1
31.0,3,45781.0,14.0,4,9,1,4,0,14084.0,0.0,50.0,38,1
42.0,3,159449.0,13.0,2,3,0,4,1,5178.0,0.0,40.0,38,1
37.0,3,280464.0,10.0,2,3,0,2,1,0.0,0.0,80.0,38,1
30.0,6,141297.0,13.0,2,9,0,1,1,0.0,0.0,40.0,18,1
23.0,3,122272.0,13.0,4,0,3,4,0,0.0,0.0,30.0,38,0
32.0,3,205019.0,12.0,4,11,1,2,1,0.0,0.0,50.0,38,0
40.0,3,121772.0,11.0,2,2,0,1,1,0.0,0.0,40.0,41,1
34.0,3,245487.0,4.0,2,13,0,0,1,0.0,0.0,45.0,25,0
25.0,5,176756.0,9.0,4,4,3,4,1,0.0,0.0,35.0,38,0
32.0,3,186824.0,9.0,4,6,4,4,1,0.0,0.0,40.0,38,0
38.0,3,28887.0,7.0,2,11,0,4,1,0.0,0.0,50.0,38,0
43.0,5,292175.0,14.0,0,3,4,4,0,0.0,0.0,45.0,38,1
40.0,3,193524.0,16.0,2,9,0,4,1,0.0,0.0,60.0,38,1
54.0,3,302146.0,9.0,5,7,4,2,0,0.0,0.0,20.0,38,0
35.0,0,76845.0,5.0,2,4,0,2,1,0.0,0.0,40.0,38,0
43.0,3,117037.0,7.0,2,13,0,4,1,0.0,2042.0,40.0,38,0
59.0,3,109015.0,9.0,0,12,4,4,0,0.0,0.0,40.0,38,0
56.0,1,216851.0,13.0,2,12,0,4,1,0.0,0.0,40.0,38,1
19.0,3,168294.0,9.0,4,2,3,4,1,0.0,0.0,40.0,38,0
54.0,8,180211.0,10.0,2,14,0,1,1,0.0,0.0,60.0,34,1
39.0,3,367260.0,9.0,0,3,1,4,1,0.0,0.0,80.0,38,0
49.0,3,193366.0,9.0,2,2,0,4,1,0.0,0.0,40.0,38,0
23.0,1,190709.0,12.0,4,10,1,4,1,0.0,0.0,52.0,38,0
20.0,3,266015.0,10.0,4,11,3,2,1,0.0,0.0,44.0,38,0
45.0,3,386940.0,13.0,0,3,3,4,1,0.0,1408.0,40.0,38,0
30.0,0,59951.0,10.0,2,0,3,4,1,0.0,0.0,40.0,38,0
22.0,6,311512.0,10.0,2,7,0,2,1,0.0,0.0,15.0,38,0
48.0,3,242406.0,7.0,4,6,4,4,1,0.0,0.0,40.0,32,0
21.0,3,197200.0,10.0,4,6,3,4,1,0.0,0.0,40.0,38,0
19.0,3,544091.0,9.0,1,0,5,4,0,0.0,0.0,25.0,38,0
31.0,3,84154.0,10.0,2,11,0,4,1,0.0,0.0,38.0,41,1
48.0,5,265477.0,12.0,2,9,0,4,1,0.0,0.0,40.0,38,0
31.0,3,507875.0,5.0,2,6,0,4,1,0.0,0.0,43.0,38,0
53.0,5,88506.0,13.0,2,9,0,4,1,0.0,0.0,40.0,38,0
24.0,3,172987.0,13.0,2,12,0,4,1,0.0,0.0,50.0,38,0
49.0,3,94638.0,9.0,5,0,4,4,0,0.0,0.0,40.0,38,0
25.0,3,289980.0,9.0,4,5,1,4,1,0.0,0.0,35.0,38,0
57.0,0,337895.0,13.0,2,9,0,2,1,0.0,0.0,40.0,38,1
53.0,3,144361.0,9.0,2,6,0,4,1,0.0,0.0,38.0,38,0
